Name,latitude,longitude,Phylum
Magnoliopsida,27.7856,86.7389,Marchantiophyta
Insecta,27.7856,86.7389,Magnoliophyta
Insecta,29.06,83,Arthropoda
Insecta,29.06,83,Arthropoda
Insecta,29.06,83,Arthropoda
Insecta,27.6267,86.0883,Arthropoda
Insecta,27.5942,83.7124,Arthropoda
Insecta,27.5909,83.7209,Arthropoda
Insecta,27.5996,83.7273,Arthropoda
Insecta,27.5909,83.7209,Arthropoda
Arachnida,28.3833,85.05,Arthropoda
Insecta,28.4529,81.7446,Arthropoda
Insecta,28.4529,81.7446,Arthropoda
Malacostraca,28.4529,81.7446,Arthropoda
Malacostraca,27.911,85.54,Arthropoda
Actinopterygii,26.94,85.024,Arthropoda
Insecta,26.94,85.024,Chordata
Mammalia,26.94,85.024,Arthropoda
Aves,26.94,85.024,Chordata
Aves,26.94,85.024,Chordata
Magnoliopsida,26.94,85.024,Chordata
Liliopsida,26.94,85.024,Magnoliophyta
Magnoliopsida,26.94,85.024,Magnoliophyta
Magnoliopsida,26.94,85.024,Magnoliophyta
Bivalvia,26.94,85.024,Magnoliophyta
Gastropoda,26.94,85.024,Mollusca
Gastropoda,26.94,85.024,Mollusca
Gastropoda,26.94,85.024,Mollusca
Aves,26.94,85.024,Mollusca
Insecta,26.94,85.024,Chordata
Gastropoda,29.369,82.153,Arthropoda
Gastropoda,27.35,87.68,Mollusca
Insecta,29.4797,81.1278,Mollusca
Gastropoda,29.4797,81.1278,Arthropoda
Actinopterygii,29.4797,81.1278,Mollusca
Actinopterygii,28.5408,81.1734,Chordata
Actinopterygii,28.9328,81.4236,Chordata
Actinopterygii,28.5535,81.2766,Chordata
Chromadorea,28.5535,81.2766,Chordata
Insecta,27.628,85.276,Nematoda
Insecta,27.628,85.276,Arthropoda
Insecta,27.628,85.276,Arthropoda
Insecta,27.628,85.276,Arthropoda
Aves,27.628,85.276,Arthropoda
Insecta,27.628,85.276,Chordata
Insecta,27.628,85.276,Arthropoda
Trematoda,27.628,85.276,Arthropoda
Trematoda,27.628,85.276,Platyhelminthes
Trematoda,27.628,85.276,Platyhelminthes
Trematoda,27.628,85.276,Platyhelminthes
Ascomycota_class_incertae_sedis,27.628,85.276,Platyhelminthes
Magnoliopsida,27.628,85.276,Ascomycota
Magnoliopsida,27.628,85.276,Magnoliophyta
Magnoliopsida,27.628,85.276,Magnoliophyta
Magnoliopsida,27.628,85.276,Magnoliophyta
Insecta,27.628,85.276,Magnoliophyta
Bryopsida,27.628,85.276,Arthropoda
Magnoliopsida,27.628,85.276,Bryophyta
Bryopsida,27.628,85.276,Magnoliophyta
Bryopsida,27.628,85.276,Bryophyta
Magnoliopsida,27.628,85.276,Bryophyta
Magnoliopsida,27.628,85.276,Magnoliophyta
